Date,Open,High,Low,Close,Volume,MarketCap
30-Apr-18,9426.11,9477.14,9166.81,9240.55,8673920000.00,157163847314.00
1-May-18,9251.47,9255.88,8891.05,9119.01,7713019904.00,155114132125.00
2-May-18,9104.60,9256.52,9015.14,9235.92,7558159872.00,157119854754.00
3-May-18,9233.97,9798.33,9188.15,9743.86,10207299584.00,165778380092.00
4-May-18,9695.50,9779.20,9585.96,9700.76,8217829888.00,165062796742.00
5-May-18,9700.28,9964.50,9695.12,9858.15,7651939840.00,167759953654.00
6-May-18,9845.31,9940.14,9465.25,9654.80,7222280192.00,164316605278.00
7-May-18,9645.67,9665.85,9231.53,9373.01,7394019840.00,159538115686.00
8-May-18,9380.87,9462.75,9127.77,9234.82,7415869952.00,157202142973.00
9-May-18,9223.73,9374.76,9031.62,9325.18,7226890240.00,158758858205.00
10-May-18,9325.96,9396.04,9040.52,9043.94,6906699776.00,153988453198.00
11-May-18,9052.96,9052.96,8394.46,8441.49,8488520192.00,143743802092.00
12-May-18,8441.44,8664.86,8223.50,8504.89,6821380096.00,144841040789.00
13-May-18,8515.49,8773.55,8395.12,8723.94,5866379776.00,148587777457.00
14-May-18,8713.10,8881.12,8367.97,8716.79,7364149760.00,148480275422.00
15-May-18,8705.19,8836.19,8456.45,8510.38,6705710080.00,144979744412.00
16-May-18,8504.41,8508.43,8175.49,8368.83,6760220160.00,142587497878.00
17-May-18,8370.05,8445.54,8054.12,8094.32,5862530048.00,137923772714.00
18-May-18,8091.83,8274.12,7974.82,8250.97,5764190208.00,140607667610.00
19-May-18,8255.73,8372.06,8183.35,8247.18,4712399872.00,140559162894.00
20-May-18,8246.99,8562.41,8205.24,8513.25,5191059968.00,145109512565.00
21-May-18,8522.33,8557.52,8365.12,8418.99,5154990080.00,143518943480.00
22-May-18,8419.87,8423.25,8004.58,8041.78,5137010176.00,137104106176.00
23-May-18,8037.08,8054.66,7507.88,7557.82,6491120128.00,128868479514.00
24-May-18,7561.12,7738.60,7331.14,7587.34,6049220096.00,129385391552.00
25-May-18,7592.30,7659.14,7392.65,7480.14,4867829760.00,127573690458.00
